id,Account,Amount,Counterparty,Tags,Date,Location
0,Joint Account,727.42,Fairprice,"Transportation, Entertainment, Dining",2022-07-04,Indonesia
1,Savings,522.91,Uber,"Transportation, Groceries",2022-06-26,Indonesia
2,Checking,514.06,Google,"Groceries, Dining",2022-09-07,Indonesia
3,Checking,739.76,Google,"Travel, Dining, General Expenses, Transportation, Entertainment, Groceries",2022-08-15,Japan
4,Checking,609.8,Uber,"Entertainment, Transportation, Groceries, General Expenses, Dining, Travel",2022-12-13,Japan
5,Joint Account,814.55,ACME,"Entertainment, Travel",2022-09-08,Indonesia
6,Joint Account,556.6,Google,"Dining, Travel",2022-11-24,Indonesia
7,Savings,967.67,Amazon,"Entertainment, Travel, Transportation, Groceries, General Expenses, Dining",2022-09-16,Japan
8,Joint Account,108.4,Fairprice,Travel,2022-10-02,Australia
9,Savings,436.01,Grab,"Groceries, Travel, Dining",2022-08-06,Indonesia
10,Savings,767.2,Grab,"Transportation, Groceries, Travel, Dining, Entertainment",2022-11-27,Singapore
11,Checking,93.99,Grab,"General Expenses, Entertainment",2022-06-03,Japan
12,Checking,422.95,Gojek,"General Expenses, Travel, Transportation, Dining, Groceries",2022-06-20,Indonesia
13,Checking,644.53,Starbucks,Groceries,2022-10-12,Japan
14,Savings,482.5,Uber,"Entertainment, Groceries, Transportation, Dining, General Expenses",2022-10-12,Australia
15,Savings,913.2,ACME,Travel,2022-12-11,Australia
16,Joint Account,770.21,Google,"Transportation, General Expenses",2022-07-10,Japan
17,Joint Account,393.28,Gojek,Dining,2022-10-29,Indonesia
18,Joint Account,327.32,Amazon,"General Expenses, Dining, Entertainment, Groceries",2022-06-21,Indonesia
19,Checking,996.26,Google,"Entertainment, Travel, Transportation, General Expenses",2022-11-19,Japan
20,Savings,543.59,Gojek,"General Expenses, Transportation",2022-11-28,Australia
21,Checking,624.53,Google,"Dining, Travel, Transportation, General Expenses",2022-08-14,Indonesia
22,Savings,773.46,Google,Transportation,2022-12-24,Australia
23,Savings,835.21,Fairprice,"Entertainment, Travel, Groceries",2022-11-08,Indonesia
24,Checking,520.37,ACME,"Groceries, Travel",2022-08-23,Australia
25,Savings,303.38,Uber,"Travel, Transportation, Entertainment, General Expenses",2022-07-22,Indonesia
26,Joint Account,210.71,Gojek,"Entertainment, Dining, Groceries, General Expenses",2022-10-24,Singapore
27,Joint Account,358.35,Google,"Travel, Transportation, Entertainment, Groceries",2022-06-23,Singapore
28,Joint Account,626.07,Walmart,"Dining, Groceries",2022-10-23,Indonesia
29,Savings,528.92,Grab,"Dining, Groceries",2022-11-13,Australia
30,Checking,785.5,ACME,"Transportation, Travel",2022-10-07,Australia
31,Joint Account,350.89,Starbucks,"Transportation, Travel",2022-08-02,Singapore
32,Checking,448.21,ACME,"Transportation, General Expenses, Entertainment",2022-07-03,Australia
33,Joint Account,956.74,Amazon,General Expenses,2022-10-08,Indonesia
34,Joint Account,65.54,Gojek,"Groceries, General Expenses, Travel, Dining, Transportation",2022-08-07,Singapore
35,Savings,602.37,Starbucks,"Dining, General Expenses, Travel, Entertainment, Transportation, Groceries",2022-06-03,Australia
36,Checking,298.9,Gojek,"Entertainment, General Expenses, Transportation, Travel",2022-11-17,Australia
37,Savings,164.52,Gojek,"Transportation, Travel, Groceries, Entertainment",2022-11-04,Indonesia
